date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_kmh,miss_distance_km,is_potentially_hazardous
2024-08-15,3117460,(2002 FT5),21.57,0.1289896833,0.2884297004,71344.0992389717,58026511.0006349,False
2024-08-15,3986764,(2020 BM1),25.6,0.0201629919,0.0450858206,64555.201048028,64686578.522737066,False
2024-08-15,54177364,(2021 PG),23.33,0.0573528464,0.1282448632,31932.7636748057,8139910.730482049,False
2024-08-15,54199630,(2021 RU23),20.95,0.1716148941,0.3837425691,55662.8903344739,32177931.8691153,False
2024-08-15,54248444,(2022 DO1),26.79,0.0116561459,0.0260639347,98123.3274096277,70435128.48062185,False
2024-08-15,54352574,(2023 FF6),24.59,0.0321036917,0.0717860371,52405.7976668837,55189489.975344359,False
2024-08-15,54430476,(2024 EB3),24.54,0.0328514828,0.0734581487,93841.9904674814,72979815.236777598,False
2024-08-15,54441870,(2024 JF15),21.55,0.1301832102,0.2910985075,42910.5846498656,54413622.763074119,False
2024-08-15,54465473,(2024 PV),22.53,0.0829000851,0.1853702257,22199.0505727279,29875151.555774341,False
2024-08-15,54465527,(2024 PO1),21.84,0.1139081967,0.2547064711,42971.2449238336,38014323.287738377,False
2024-08-15,54465952,(2024 PV3),24.52,0.0331554538,0.0741378485,43152.7637190676,11879455.55588472,False
2024-08-15,54465953,(2024 PZ3),25.22,0.024019003,0.0537081235,43868.5318881256,277046.324247161,False
2024-08-15,54466215,(2024 PY5),25.28,0.0233644185,0.052244428,22077.2704986046,12104876.65750061,False
2024-08-15,54469037,(2024 RU7),25.25,0.0236894499,0.0529712204,30345.4853580777,9524987.458083256,False
2024-08-15,54471038,(2024 RV13),24.54,0.0328514828,0.0734581487,18422.6683588497,15091270.093841274,False
2024-08-15,54490516,(2024 SU35),22.22,0.0956213733,0.2138158908,19281.0997384457,47908135.587710599,False
2024-08-16,3685272,(2014 QO390),21.71,0.1209358264,0.2704207287,89840.9620281251,22738604.196273405,True
2024-08-16,3758839,(2016 QA84),22.53,0.0829000851,0.1853702257,59556.6735523794,55870426.642851894,False
2024-08-16,3789743,(2017 WZ27),27.5,0.008405334,0.0187948982,21000.3836686333,61234489.894084015,False
2024-08-16,3797745,(2018 AM13),22.13,0.099667824,0.2228640296,55903.7564398757,33457528.215684171,False
2024-08-16,3802006,(2018 FB2),25.6,0.0201629919,0.0450858206,17219.5442037182,11495977.213674792,False
2024-08-16,3825490,(2018 MH7),26.1,0.0160160338,0.0358129403,62441.6751489791,68570598.239081587,False
2024-08-16,54048888,(2020 OK1),24.0,0.0421264611,0.0941976306,32435.5774207344,42149238.827785348,False
2024-08-16,54134940,(2021 GY1),23.97,0.0427124985,0.0955080501,22739.9917260937,6759614.432736266,False
2024-08-16,54240513,(2022 BT4),27.25,0.0094309399,0.0210882227,57340.798754639,27895940.290202067,False
2024-08-16,54296363,(2022 QK),25.83,0.0181365625,0.0405545866,26670.3080347326,12188770.439886621,False
2024-08-16,54465278,(2024 LF12),22.77,0.0742258153,0.1659739687,26911.6791391274,37321410.577707779,False
2024-08-16,54465943,(2024 PS3),24.86,0.0283501249,0.0633928065,51101.1033658103,9457163.598570941,False
2024-08-16,54521724,(2025 DJ29),26.43,0.0137579896,0.0307638,18205.342415776,25280752.994645029,False
2024-08-17,3766322,(2017 AV3),19.68,0.3080030213,0.6887156928,89713.7206035329,44044408.837391365,False
2024-08-17,3827174,(2018 RB1),27.9,0.0069912523,0.0156329154,79103.2683094625,70831971.83669843,False
2024-08-17,3843826,(2019 RP2),28.9,0.004411182,0.0098637028,32283.4689210344,38823275.968852066,False
2024-08-17,54016337,(2020 FB4),26.8,0.0116025908,0.0259441818,21391.9805946875,44553775.956375408,False
2024-08-17,54054530,(2020 SM2),28.71,0.004814542,0.0107656431,67473.0732199504,73247823.022277016,False
2024-08-17,54055065,(2020 TV1),21.5,0.1332155667,0.2978790628,45702.4133781511,55011850.313728173,False
2024-08-17,54160169,(2021 LU6),24.43,0.0345585074,0.0772751717,37123.9226047098,21189785.224782207,False
2024-08-17,54240279,(2022 BF2),23.02,0.0661538275,0.1479244553,61390.2612594035,5076690.021461203,False
2024-08-17,54339882,(2023 BU1),24.05,0.0411675457,0.0920534307,71881.1924546747,22768939.772030301,False
2024-08-17,54375851,(2023 OH2),23.36,0.0565659358,0.1264852778,46097.9151653869,56073158.923675086,False
